Country,Population2000,Population2019,PopulationGrowth,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
South Africa,45,58.6,1.4,45000000,45630000,46268820,46916583,47573416,48239443,48914796,49599603,50293997,50998113,51712087,52436056,53170161,53914543,54669347,55434718
South Sudan,6.2,11.1,3,6200000,6386000,6577580,6774907,6978155,7187499,7403124,7625218,7853975,8089594,8332282,8582250,8839717,9104909,9378056,9659398
Spain,40.6,47.1,0.8,40600000,40924800,41252198,41582216,41914874,42250193,42588194,42928900,43272331,43618510,43967458,44319197,44673751,45031141,45391390,45754521
Sri Lanka,18.8,21.8,0.8,18800000,18950400,19102003,19254819,19408858,19564129,19720642,19878407,20037434,20197734,20359315,20522190,20686367,20851858,21018673,21186823
St. Kitts and Nevis,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Lucia,0.2,0.2,0.8,200000,201600,203213,204839,206477,208129,209794,211472,213164,214870,216588,218321,220068,221828,223603,225392
St. Martin (French part),0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Vincent and the Grenadines,0.1,0.1,0.1,100000,100100,100200,100300,100401,100501,100602,100702,100803,100904,101005,101106,101207,101308,101409,101511
Sudan,27.3,42.8,2.4,27300000,27955200,28626125,29313152,30016667,30737067,31474757,32230151,33003675,33795763,34606861,35437426,36287924,37158834,38050646,38963862
Suriname,0.5,0.6,1.1,500000,505500,511061,516682,522366,528112,533921,539794,545732,551735,557804,563940,570143,576415,582755,589166
Sweden,8.9,10.3,0.8,8900000,8971200,9042970,9115313,9188236,9261742,9335836,9410522,9485807,9561693,9638187,9715292,9793014,9871358,9950329,10029932
Switzerland,7.2,8.6,0.9,7200000,7264800,7330183,7396155,7462720,7529885,7597654,7666033,7735027,7804642,7874884,7945758,8017270,8089425,8162230,8235690
Syrian Arab Republic,16.4,17.1,0.2,16400000,16432800,16465666,16498597,16531594,16564657,16597787,16630982,16664244,16697573,16730968,16764430,16797959,16831555,16865218,16898948
Tajikistan,6.2,9.3,2.1,6200000,6330200,6463134,6598860,6737436,6878922,7023380,7170871,7321459,7475209,7632189,7792465,7956107,8123185,8293772,8467941
Tanzania,33.5,58,2.9,33500000,34471500,35471174,36499838,37558333,38647524,39768303,40921583,42108309,43329450,44586004,45878999,47209489,48578565,49987343,51436976
Thailand,63,69.6,0.5,63000000,63315000,63631575,63949733,64269482,64590829,64913783,65238352,65564544,65892366,66221828,66552937,66885702,67220131,67556231,67894012
Timor-Leste,0.9,1.3,2,900000,918000,936360,955087,974189,993673,1013546,1033817,1054493,1075583,1097095,1119037,1141418,1164246,1187531,1211282
Togo,4.9,8.1,2.6,4900000,5027400,5158112,5292223,5429821,5570996,5715842,5864454,6016930,6173370,6333878,6498559,6667521,6840877,7018740,7201227
Tonga,0.1,0.1,0.3,100000,100300,100601,100903,101205,101509,101814,102119,102425,102733,103041,103350,103660,103971,104283,104596
Trinidad and Tobago,1.3,1.4,0.5,1300000,1306500,1313033,1319598,1326196,1332827,1339491,1346188,1352919,1359684,1366482,1373315,1380181,1387082,1394017,1400988
Tunisia,9.7,11.7,1,9700000,9797000,9894970,9993920,10093859,10194797,10296745,10399713,10503710,10608747,10714835,10821983,10930203,11039505,11149900,11261399
Turkey,63.2,83.4,1.5,63200000,64148000,65110220,66086873,67078176,68084349,69105614,70142198,71194331,72262246,73346180,74446373,75563068,76696514,77846962,79014667
Turkmenistan,4.5,5.9,1.4,4500000,4563000,4626882,4691658,4757342,4823944,4891480,4959960,5029400,5099811,5171209,5243606,5317016,5391454,5466935,5543472
Turks and Caicos Islands,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,23.7,44.3,3.3,23700000,24482100,25290009,26124580,26986691,27877252,28797201,29747508,30729176,31743239,32790766,33872861,34990666,36145358,37338154,38570313
Ukraine,49.2,44.4,-0.5,49200000,48954000,48709230,48465684,48223355,47982239,47742327,47503616,47266098,47029767,46794618,46560645,46327842,46096203,45865722,45636393
United Arab Emirates,3.1,9.8,6,3100000,3286000,3483160,3692150,3913679,4148499,4397409,4661254,4940929,5237385,5551628,5884726,6237809,6612078,7008802,7429330
United Kingdom,58.9,66.8,0.7,58900000,59312300,59727486,60145579,60566598,60990564,61417498,61847420,62280352,62716315,63155329,63597416,64042598,64490896,64942332,65396929
United States,282.2,328.2,0.8,282200000,284457600,286733261,289027127,291339344,293670059,296019419,298387574,300774675,303180872,305606319,308051170,310515579,312999704,315503702,318027731
Uruguay,3.3,3.5,0.2,3300000,3306600,3313213,3319840,3326479,3333132,3339799,3346478,3353171,3359877,3366597,3373330,3380077,3386837,3393611,3400398
Uzbekistan,24.7,33.6,1.6,24700000,25095200,25496723,25904671,26319146,26740252,27168096,27602785,28044430,28493141,28949031,29412216,29882811,30360936,30846711,31340258
Vanuatu,0.2,0.3,2.5,200000,205000,210125,215378,220763,226282,231939,237737,243681,249773,256017,262417,268978,275702,282595,289660
"Venezuela, RB",24.2,28.5,0.9,24200000,24417800,24637560,24859298,25083032,25308779,25536558,25766387,25998285,26232269,26468360,26706575,26946934,27189457,27434162,27681069
Vietnam,79.9,96.5,1,79900000,80699000,81505990,82321050,83144260,83975703,84815460,85663615,86520251,87385453,88259308,89141901,90033320,90933653,91842990,92761420
Virgin Islands (U.S.),0.1,0.1,-0.1,100000,99900,99800,99700,99601,99501,99401,99302,99203,99104,99004,98905,98807,98708,98609,98510
West Bank and Gaza,2.9,4.7,2.5,2900000,2972500,3046813,3122983,3201057,3281084,3363111,3447189,3533368,3621703,3712245,3805051,3900178,3997682,4097624,4200065
"Yemen, Rep.",17.4,29.2,2.7,17400000,17869800,18352285,18847796,19356687,19879317,20416059,20967292,21533409,22114811,22711911,23325133,23954912,24601694,25265940,25948120
Zambia,10.4,17.9,2.8,10400000,10691200,10990554,11298289,11614641,11939851,12274167,12617844,12971143,13334335,13707697,14091512,14486075,14891685,15308652,15737294
Zimbabwe,11.9,14.6,1.1,11900000,12030900,12163240,12297036,12432303,12569058,12707318,12847098,12988416,13131289,13275733,13421766,13569406,13718669,13869575,14022140
World,"6,114.30","7,673.70",1.2,6114300000,6187671600,6261923659,6337066743,6413111544,6490068883,6567949709,6646765106,6726526287,6807244602,6888931538,6971598716,7055257901,7139920995,7225600047,7312307248
East Asia & Pacific,"2,047.60","2,340.70",0.7,2047600000,2061933200,2076366732,2090901300,2105537609,2120276372,2135118306,2150064135,2165114584,2180270386,2195532278,2210901004,2226377311,2241961953,2257655686,2273459276
Europe & Central Asia,861.3,921.2,0.4,861300000,864745200,868204181,871676998,875163706,878664360,882179018,885707734,889250565,892807567,896378797,899964312,903564170,907178426,910807140,914450369
Latin America & Caribbean,520.9,646.4,1.1,520900000,526629900,532422829,538279480,544200554,550186760,556238815,562357442,568543374,574797351,581120122,587512443,593975080,600508806,607114402,613792661
Middle East & North Africa,315.3,456.7,1.9,315300000,321290700,327395223,333615733,339954431,346413566,352995423,359702336,366536681,373500878,380597394,387828745,395197491,402706243,410357662,418154458
North America,312.9,365.9,0.8,312900000,315403200,317926426,320469837,323033596,325617864,328222807,330848590,333495379,336163342,338852648,341563470,344295977,347050345,349826748,352625362
South Asia,"1,390.90","1,835.80",1.5,1390900000,1411763500,1432939953,1454434052,1476250563,1498394321,1520870236,1543683289,1566838539,1590341117,1614196234,1638409177,1662985315,1687930094,1713249046,1738947782
Sub-Saharan Africa,665.3,"1,107.00",2.7,665300000,683263100,701711204,720657406,740115156,760098265,780620919,801697683,823343521,845573796,868404288,891851204,915931187,940661329,966059185,992142783
