Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Equatorial Guinea,1046,1461,1807,2485,4411,8217,10087,13072,19750,15028,16314,21357,22388,21949,21765,13185
Eritrea,706,752,729,870,1109,1098,1211,1318,1380,1857,1590,2065,,,,
Estonia,5694,6259,7372,9878,12144,14098,17012,22446,24371,19744,19694,23392,23193,25271,26773,23049
Eswatini,1738,1542,1432,2198,2770,3178,3291,3469,3294,3580,4439,4820,4887,4598,4422,4063
Ethiopia,8242,8231,7851,8624,10131,12401,15281,19708,27067,32437,29934,31953,43311,47648,55612,64589
Faroe Islands,1059,1148,1263,1494,1688,1728,1984,2290,2432,2268,2320,2491,2366,2627,2851,2518
Fiji,1684,1660,1843,2316,2728,3007,3103,3405,3523,2871,3141,3775,3972,4190,4857,4683
Finland,125707,129421,139738,171274,197117,204809,216908,256053,284554,252497,249181,275244,258305,271285,274497,234440
France,1362249,1376465,1494287,1840481,2115742,2196126,2318594,2657213,2918383,2690222,2642610,2861408,2683825,2811078,2852166,2438208
French Polynesia,3448,,,,,,,,,,,,,,,
Gabon,5068,5023,5335,6512,7770,9583,10328,12455,15571,12114,14373,18210,17170,17596,18204,14383
"Gambia, The",783,687,578,487,962,1028,1054,1280,1562,1450,1543,1410,1415,1376,1229,1378
Georgia,3057,3219,3396,3991,5125,6411,7745,10173,12795,10767,12244,15107,16488,17190,17627,14954
Germany,1943145,1944107,2068624,2496129,2809188,2845803,2992197,3421229,3730028,3397791,3396354,3744409,3527345,3732743,3883920,3356236
Ghana,4983,5315,6166,7632,8881,10745,20441,24828,28679,26048,32197,39337,41271,62405,53660,48565
Greece,130134,136191,153831,201924,240521,247783,273318,318498,354461,330000,299362,287798,245671,239862,237030,196591
Greenland,1068,1086,1169,1559,1822,1850,2013,2250,2499,2530,2503,2684,2610,2685,2842,2499
Grenada,520,520,540,591,599,696,699,759,826,771,771,779,800,843,911,997
Guam,,,3385,3560,3857,4197,4213,4375,4621,4781,4895,4928,5199,5336,5538,5710
Guatemala,19289,18703,20776,21917,23965,27211,30231,34113,39136,37734,41338,47655,50388,52997,57852,62186
Guinea,2995,2829,2950,3446,3635,2937,4220,6282,6964,6717,6853,6785,7638,8377,8778,8794
Guinea-Bissau,370,393,418,477,532,587,592,697,868,830,850,1100,989,1046,1055,1048
Guyana,713,712,726,743,788,825,2380,2731,3025,3166,3433,3691,4063,4168,4128,4280
Haiti,6869,6365,6107,5000,6005,7050,7409,9316,10386,11270,11662,13009,13709,14498,14791,14857
Honduras,7104,7651,7858,8230,8869,9757,10917,12361,13882,14587,15839,17710,18529,18500,19756,20980
"Hong Kong SAR, China",171668,169403,166349,161385,169100,181570,193536,211597,219280,214046,228638,248514,262629,275697,291459,309384
Hungary,47218,53750,67609,85302,103960,112981,115577,139966,158136,130760,131917,141760,128475,135412,140765,125074
Iceland,9004,8205,9295,11414,13835,16813,17216,21515,17905,13165,13684,15159,14724,16034,17758,17389
India,468395,485441,514938,607699,709149,820382,940260,1216735,1198896,1341887,1675615,1823050,1827638,1856722,2039127,2103588
Indonesia,165021,160447,195661,234772,256837,285869,364571,432217,510229,539580,755094,892969,917870,912524,890815,860854
"Iran, Islamic Rep.",109592,126879,128627,153545,190043,226452,266299,349882,412336,416397,486808,580765,598868,460293,432687,384951
Iraq,,,,,36628,49955,65140,88840,131614,111661,138462,185470,217808,234648,234648,177499
Ireland,99853,109135,127950,164285,193871,211649,232083,269918,275039,236316,222149,237472,224999,238544,258472,291500
Isle of Man,1564,1659,1947,2329,2822,3032,3423,4466,5928,5487,5920,6566,6691,7001,7709,7085
Israel,132343,130756,121124,126966,135477,142529,154034,178959,216105,207468,233996,261469,257180,292636,309558,299813
Italy,1143830,1167013,1270712,1574146,1803227,1857524,1947920,2210293,2398857,2191242,2134018,2291991,2087077,2141315,2159134,1835899
Jamaica,8985,9195,9719,9430,10175,11244,11930,12800,13709,12120,13221,14445,14807,14263,13898,14188
Japan,4887520,4303544,4115116,4445658,4815149,4755411,4530377,4515265,5037908,5231383,5700098,6157460,6203213,5155717,4850414,4389476
Jordan,8460,8976,9582,10196,11411,12589,15057,17111,22658,24538,27134,29524,31635,34454,36848,38587
Kazakhstan,18292,22153,24637,30834,43152,57124,81004,104850,133442,115309,148047,192627,207999,236635,221416,184388
Kenya,12705,12986,13148,14905,16095,18738,25826,31958,35895,37022,40000,41953,50413,55097,61448,64008
Kiribati,67,63,72,90,102,112,110,133,141,132,156,182,190,185,180,171
"Korea, Rep.",576178,547658,627246,702717,793175,934901,1053217,1172614,1047339,943942,1144067,1253223,1278428,1370795,1484318,1465773
Kosovo,1849,2535,2406,2790,3557,3663,3847,4656,5687,5654,5836,6702,6500,7075,7397,6443
Kuwait,37713,34888,38138,47877,59439,80799,101549,114640,147395,105963,115419,154068,174070,174161,162631,114567
Kyrgyz Republic,1370,1525,1606,1919,2212,2460,2834,3803,5140,4690,4794,6198,6605,7335,7468,6678
Lao PDR,1731,1769,1758,2023,2366,2736,3453,4223,5444,5833,7128,8749,10191,11942,13268,14390
Latvia,7949,8351,9545,11749,14402,16959,21517,31005,35756,26317,23878,28620,28331,30433,31329,27240
Lebanon,17260,17650,19152,20083,21160,21497,22023,24827,29119,35400,38444,39927,44036,46909,48134,49939
Lesotho,887,826,776,1158,1511,1682,1800,1716,1759,1773,2270,2622,2526,2421,2500,2372
Liberia,874,906,927,748,897,949,1119,1373,1726,1768,1998,2398,2721,3067,3144,3177
Libya,38270,34110,20482,26266,33122,47334,54962,67516,87140,63028,74773,34699,81874,65503,41143,27842
Liechtenstein,2484,2492,2689,3071,3454,3659,4000,4601,5081,4505,5082,5740,5456,6392,6657,6268
Lithuania,11525,12237,14260,18782,22628,26098,30184,39698,47798,37388,37138,43582,42943,46514,48575,41419
Luxembourg,21264,21272,23616,29557,34685,37347,42414,50888,55850,51371,53212,60005,56678,61739,66104,57744
"Macao SAR, China",6720,6811,7323,8195,10586,12092,14790,18340,20917,21476,28124,36710,43032,51552,55348,45362
Madagascar,4629,5438,5352,6372,5065,5859,6396,8525,10725,9617,9983,11552,11579,12424,12523,11323
Malawi,1744,1717,3496,3209,3476,3656,3998,4433,5321,6191,6960,8004,6028,5519,6048,6373
Malaysia,93790,92784,100846,110202,124749,143534,162691,193548,230814,202258,255017,297952,314443,323277,338062,301355
Maldives,624,870,897,1052,1227,1163,1575,1868,2272,2345,2588,2774,2886,3295,3697,4109
Mali,2954,3465,3890,4704,5444,6247,6906,8146,9799,10191,10689,12995,12442,13243,14365,13105
Malta,4070,4088,4470,5448,6098,6416,6778,7925,9090,8696,9036,9639,9462,10552,11626,11091
Marshall Islands,115,123,132,131,134,142,145,154,153,152,162,174,183,188,185,185
Mauritania,1780,1746,1777,2051,2363,2936,4009,4328,5138,4725,5629,6765,6728,7223,6593,6167
Mauritius,4663,4614,4841,5817,6579,6489,7029,8150,9990,9129,10004,11518,11669,12130,12803,11692
Mexico,707907,756706,772106,729336,782241,877476,975387,1052696,1109989,900045,1057801,1180490,1201090,1274443,1315351,1171868
"Micronesia, Fed. Sts.",233,241,243,245,240,250,254,257,263,280,297,311,327,317,319,316
Moldova,1288,1481,1662,1981,2598,2988,3408,4401,6055,5439,6975,8414,8709,9497,9510,7745
Monaco,2648,2719,2969,3601,4138,4203,4583,5868,6476,5452,5368,6089,5743,6556,7070,6262
Mongolia,1137,1268,1397,1595,1992,2523,3414,4235,5623,4584,7189,10410,12293,12582,12227,11750
Montenegro,984,1160,1285,1708,2073,2257,2722,3681,4546,4159,4143,4545,4088,4465,4588,4053
